id,label,tweet,clean_tweet
17137543,1,Mockingbird de Eminem es epico.,mockingbird eminem epico
11758172,0,"Dios, que malos que son estos tipos",dios malos tipos
19666953,1,Gracias a dios es Viernes.,gracias dios viernes
13914848,1,AURA https://x.com/i/status/1887226953448759416,aura
14237313,0,"Fo, que aspera va estar la semana",fo aspera ir semana
19049973,0,que ganas de que caiga una bomba,ganas caer bomba
17254552,1,Mejor día del año https://x.com/i/status/1874121306301751565,mejor día año
15768584,0,Que ganas de cabecear una bala,ganas cabecear bala
10798538,1,pov: la última vez que iba a ser feliz y no lo sabía,pov última vez ir ser feliz no lo saber
19233317,1,"Le repetiré una y mil veces, el día más feliz del año",repetir mil veces día más feliz año
14941457,1,"Gracias Franquito por éstas nueve carreras, esperemos verte pronto.",gracias franquito éstas nueve carreras esperar verte pronto
10062021,1,Que ganas de una chervechita tropic thunder,ganas chervechitar tropic thunder
17009028,0,Basta de Figal y Rojo ,bastar figal rojo
16081063,0,Miralo a los burrasos estos,miralo burrasos
13076362,1,Merecido para Gustavo y la gente de racing!!!,merecido gustavo gente racing
19213768,1,Merecido por el amor que siente por la camiseta,merecido amor camiseta
14611633,1,Que grande Hauche teniendo a upa a Costas,grande hauche upar costas
17125835,1,Qué tipazo,tipazo
11029653,0,Y lo puteaban los hdp,lo putear hdp
10925141,1,Un tipazo.,tipazo
14231586,1,Este chabon cada vez me cae mejor!!!,este chabon cada vez me caer mejor
12394100,1,Te amo Max Emilian Verstappen,te amar max emiliar verstappar
12625590,1,Aguante Hulk,aguante hulk
11226285,1,Que lindon hubiese estado para ir a Lagash hoy,lindon ir lagash hoy
15366360,1,Las calles no olvidan. Que pedazo de jugador que fue el Flaco Bilos.,calles no olvidar pedazo jugador flaco bilos
13789473,1,El tanque era maquinaaaa. El Boca del Coco volaba!!,tanque maquinaaaar boca coco volar
18815749,1,Uno de los jugadores más rápidos que vi en mi vida.,jugadores más rápidos ver vida
17132256,1,que ganas de unos matecitos,ganas matecitos
16109383,0,hacen cagada y uno tiene que dar la cara,hacer cagada dar cara
11143943,1,VAMOOO BOKEEEEEEEEE,vamooo bokeeeeeeeee
11147106,1,tremenda data esta eh. muy buena. El Toro siempre adentro,tremenda datar eh muy buena toro siempre adentro
10986533,1,Esto es cine totalmente,esto cine totalmente
17048971,0,pero esto fue terrible🙏,esto terrible manos_en_oración
18242497,1,El verdadero cine,verdadero cine
14317458,1,Uno de mis grandes ídolos de la infancia. Te quiero mucho Rodri.,grandes ídolos infancia te querer rodri
14250108,1,El idolo de los pibes.,idolo pibes
13880094,1,Ídolo y crack !!!!!,ídolo crack
18066691,1,recontra crack,recontrar crack
16389608,1,Ídolo total.,ídolo total
12119345,1,Que crack fue con nosotros 🥲,crack cara_sonriente_con_lágrima
17100943,1,lo más grande que hay Rodrigo,lo más grande rodrigo
17849277,1,"El mejor de todos, pero por mucho. https://pbs.twimg.com/media/Gkh7_MDWsAAQoIj?format=jpg&name=900x900",mejor
10476591,0,"Lo tendrían que fletar, carnicero le dicen",lo fletar carnicero decir
19728208,0,"Suma un quilombo más, total esto no se apaga más",sumar quilombo más total esto no apagar más
18072471,0,Pero la re puta madre con esto,re puta madre esto
17899341,0,Me van a matar de un ataque cardiaco,me ir matar ataque cardiaco
17236235,0,"Bueno, que hice en otra vida para que pase todo esto",bueno hacer vida pasar todo esto
15344047,0,Bueno ya arrancamos mal!,bueno arrancar mal
17228385,0,Totalmente pasado de rosca,totalmente pasado roscar
16729600,0,Quiero cabecear una bala,querer cabecear bala
13634603,1,Lo contento de que fui a un castillo medieval,lo contento castillo medieval
15175124,1,Queda muy poco para mis vacaciones por suerte,quedar muy poco vacaciones suerte
18118776,0,Es un dolor de ojos esto,dolor ojos esto
15618430,1,Porque conozco esa sonrisa,porque conocer sonrisa
14730935,0,"Qué onda, no puedo sentirme como el ojete así",onda no poder sentir yo como ojete así
15151630,0,Unos forros la verdad,forros verdad
13692434,0,"Dormí como el orto, si es que dormi",dormir como orto si dormi
19190610,0,Estoy hasta las manos,estar manos
12442932,0,Me preocupa que me estoy sintiendo cada vez más viejo,me preocupar me estar cada vez más viejo
14800258,0,Que mal me siento,mal me sentir
13210072,0,Me apeste fiero,me apeste fiero
10063998,0,Me quiero matar,me querer matar
11035772,0,Es una vergüenza,vergüenza
14241488,0,Que paja levantarse a esta hora,pajar levantar él hora
13893584,0,"Cansado, cansado Estoy",cansado cansado estar
19300183,0,Me voy a ir al infierno,me ir ir infierno
13953695,0,"Gordo, el tipo es aburrido y ordinario, por eso fracasó",gordo tipo aburrido ordinario fracasar
19722898,0,El fracaso estrepitoso de George Harris,fracaso estrepitoso george harris
15443768,0,En todo sitio que trabaje este subnormal va al fracaso,todo sitio trabaje este subnormal ir fracaso
11988868,0,Como buen venezolano arribista George Harris culpará a todos de su fracaso y nunca dirá que su rutina de mierda fue la mala.,como buen venezolano arribista george harris culpar fracaso nunca decir rutina mierda mala
13541089,1,Tengo ganas de comer un asado de mi papá y tener mucha mayonesa de apio,ganas comer asado papá tener mucha mayonesa apio
10935616,1,Ayer comí asado al mediodía y fideos caseros a la noche. Que momento para estar vivo!,ayer comí asado mediodía fideos caseros noche momento vivo
16447640,1,"Asado, Don Diego y Diego Maradona. El que pueda cómase un asado con su viejo. Son momentos que perduran para toda la vida. #DiegoEterno #ElDiezPerfecto https://x.com/i/status/1712229059000684833",asado don diego diego maradona poder cómar asado viejo momentos perduran toda vida diegoeterno eldiezperfecto
13710273,1,Hoy tocó asado. #sábado #Asado https://x.com/i/status/1893459218000224747,hoy tocar asado sábado asado
10038369,1,Que viva el buen fútbol jaja,vivir buen fútbol jajar
19629539,1,"Asado familiar 🤍,https://x.com/Inemangia12/status/1891193627910517038/photo/1",asado familiar corazón_blanco
15134103,1,"Cuando sea millonaria, voy a comprar una franquicia de alguna pollería de barrio. Dios mío santísimo, te amo mucho pollo asado. 🤩🤍 https://pbs.twimg.com/media/GkCwXDPWsAAQYKp?format=jpg&name=900x900",cuando millonaria ir comprar franquicia alguna pollería barrio dios santísimo te amar pollo asado cara_sonriendo_con_estrellas corazón_blanco
11591640,1,"Pollo asado y birra, apuesta segura. Patrimonio de la humanidad.https://pbs.twimg.com/media/GkJ3I4GW8AA6Lrj?format=jpg&name=small https://pbs.twimg.com/media/GkJ3I37W4AEqNvm?format=jpg&name=small",pollo asado birra apostar segura patrimonio humanidad
17330166,0,"Te extraño mucho, Diego.",te extraño diego
10299246,0,Yo también lo extraño mucho al Diego 🥺🥺🥺,también lo extraño diego cara_suplicante cara_suplicante cara_suplicante
11093117,1,que lindo esto! jajaja,lindar esto jajajar
10984606,0,la vida es una mierda,vida mierda
11964012,0,Te extraño todos los días de mi vida Diego querido 😪❤️,te extrañar días vida diego querido cara_de_sueño corazón_rojo
18457969,0,"Me destruye, te extraño Diego",me destruir te extraño diego
18668255,1,El Diego es lo más grande que hay.,diego lo más grande
18118186,1,Es lo más grande que tenemos,lo más grande
11970585,1,Golazo de Messi a la derecha https://x.com/i/status/1892405512907407646,golazo messi derecha
19057212,1,Hoy hay asado con los pibes https://pbs.twimg.com/media/FsaGD5MWAAgn8zP?format=jpg&name=900x900,hoy asado pibes
13823055,1,Hermoso día para hacer un asado. https://pbs.twimg.com/media/Gj6MFAdXUAALs73?format=jpg&name=large ,hermoso día hacer asado
18565543,1,Segundo Turno ✅ Truco y Asado 🔛 https://pbs.twimg.com/media/Gg-JKj-XoAA8nCX?format=jpg&name=4096x4096,segundo turno botón_de_marca_de_verificación truco asado flecha_on
14119798,1,La última foto es hermosa,última foto hermosa
10193193,1,"Se nota que fue un día de felicidad muchacho, llegan refuerzos",notar día felicidad muchacho llegar refuerzos
16857422,1,Viernes de asado 🧑🏻‍🍳😁,viernes asado chef_tono_de_piel_claro cara_radiante_con_ojos_sonrientes
17046758,1,El asado de la tercera ⭐️⭐️⭐️,asado tercera estrella estrella estrella
15151042,1,Asado con mi hermano y un montón de argentos en Weston https://pbs.twimg.com/media/Gj9cNN_XIAA0yfU?format=jpg&name=medium,asado hermano montón argentos weston
18878679,0,Que falta de respeto y soberbio es el humorista #Vina2025 https://x.com/i/status/1893862713614303545,faltar respeto soberbio humorista vina2025
12931827,0,Qué malo es Janson,malo janson
15566779,0,"Che, se tienen que ir todos",chir ir
13716816,0,Qué tristeza,tristeza
14301733,0,pedir POR FAVOR dejar de sentirse mal es el verdadero dolor,pedir favor dejar sentir él mal verdadero dolor
10188238,0,Dolor como le soltaron la mano a beno. https://x.com/i/status/1893351005976137975,dolor como soltar mano beno
12168800,0,Cuánto dolor nos han hecho aquellos males que nunca han ocurrido.,cuánto dolor hecho aquellos males nunca ocurrido
10282357,0,El dolor es total 💔😭 https://pbs.twimg.com/media/GSfx7XHXQAAM3SD?format=jpg&name=medium,dolor total corazón_roto cara_llorando_fuerte
12137689,0,No hay palabras para expresar tanto dolor https://x.com/i/status/1892921458034188448,no palabrar expresar dolor
12183987,0,Los mal vivientes de esta red siempre con un dolor,mal vivientes red siempre dolor
13629643,0,lloro vidrio para desencristalizar el dolor,lloro vidrio desencristalizar dolor
16027570,0,Se puede sentir su dolor https://pbs.twimg.com/media/Gkj8E2IWUAA4NgA?format=jpg&name=large,poder sentir dolor
10877006,0,Este frio parece recordar el dolor de Jerusalem por sus hijos caídos y asesinados.,este frio parecer recordar dolor jerusalem hijos caídos asesinados
18304649,0,Taller de mierda dolor de cabeza es lo único que dan las máquinas,taller mierda dolor cabeza lo único dar máquinas
13297079,0,"Hoy me desperté sin mi novio, todo es tristeza y dolor😭",hoy me despertar novio todo tristeza dolor cara_llorando_fuerte
16811029,0,"Que dolor de cuerpo lpm, necesito unos masajes",dolor cuerpo lpm necesitar masajes
16099974,0,Que dolor de espalda dios,dolor espalda dios
12617884,0,Y este dolor de cabeza?,este dolor cabeza
10706125,0,"Quiero arrancarme los ovarios, no puedo mas del dolor",querer arrancar yo ovarios no poder mas dolor
13014448,0,"Pasó otro 24 y sigo bloqueado por anto, todo es tristeza y dolor",pasar veinticuatro sigo bloqueado anto todo tristeza dolor
14427769,0,Que ardor y dolor PTM 🥲,ardor dolor ptm cara_sonriente_con_lágrima
14726438,0,Estoy con un dolor de cabeza que ni abrir los ojos quiero.,estar dolor cabeza abrir ojos querer
13098321,0,Ando un dolor de estómago brutal hermano siento que la voy a palmar 😭,ar dolor estómago brutal hermano siento ir palmar cara_llorando_fuerte
16358868,0,m tengo q drogar para no sentir dolor,m q drogar no sentir dolor
12946924,0,esto de despertar con dolor de espalda todos los días no me gusta.,esto despertar dolor espalda días no me gustar
17912808,0,No tiene nombre este dolor de cabeza 🫠 ,no nombre este dolor cabeza cara_derriteir él
12660916,1,Que hermoso despertar y que este fresquitoooo 🤩,hermoso despertar este fresquitoooo cara_sonriendo_con_estrellas
11083667,0,No es normal este dolor😭,no normal este dolor cara_llorando_fuerte
10966681,0,llanto tristeza agonia sufrimiento dolor pena angustia tortura,llanto tristeza agoniar sufrimiento dolor pena angustia tortura
10661677,0,"si no me pasa este dolor, voy a ir a emergencia no aguanto mas",si no me pasar este dolor voy ir emergencia no aguantar mas
18545503,1,Pues como tengas ahora un perro o un gato te vas a reír…,pues como ahora perro gato te ir reír
17050694,1,"vine a un asado de la familia de mí novia e hice reír a toda la mesa dos veces, incluido a mí suegro",venir asado familia novia hacer reír toda mesa dos veces incluido suegro
10021754,1,reír con mi mamá es tan ❤‍🩹❤‍🩹❤‍🩹,reír mamá tan corazon_curar él corazon_curar él corazon_curar él
15784389,1,"Yo amo tanto a mi mami, soy muy feliz ❤️‍🩹",amar mami muy feliz corazon_curar él
13313714,1,Este vídeo es todo lo que está bien en el baby futbol https://x.com/i/status/1893664026829209895,este vídeo todo lo bien baby futbol
15467303,0,No seas crota mabel,no crotar mabel
10071648,1,Que sea una buena semana ❤️‍🩹,buena semana corazon_curar él
12757203,0,Cuando se termina toda esta mierda? Cansaaaaada de todo,cuando terminar toda mierda cansaaaaada todo
17775045,1,"Que hermoso clima, no toquen nada😍🙏",hermoso clima no tocar nada cara_sonriendo_con_ojos_de_corazón manos_en_oración
17462526,1,Febrero con cosas positivas 🫶,febrero cosas positivas manos_formando_un_corazón
19573622,1,Amo amo este clima fresco 😍,amar amar este clima fresco cara_sonriendo_con_ojos_de_corazón
16708651,0,No espero nada pero igual se las ingenia para decepcionarme,no esperar nada igual ingenia decepcionar yo
14452285,1,Gracias por tanto Universo 🙌💝,gracias universo manos_levantadas_celebrar corazón_con_lazo
17133695,1,Que sea una buena semana 🙌💫,buena semana manos_levantadas_celebrar símbolo_de_mareo
19782360,1,Que sea una buena semana 🙌🍀🤞,buena semana manos_levantadas_celebrar trébol_de_cuatro_hojas dedos_cruzados
