ID,Tweet
1909343705347015091,"@TinoCLeclerc este circuito y el de monaco son horribles, no hay ningun adelantamiento."
1909342527041253488,"@TinoCLeclerc Suzuka y Mónaco son carreras aburridas, no pasa mucho, en Mónaco casi que la Posta es el Sábado la clasificación en realidad. Aunque de las 2, Mónaco es histórica, Suzuka fue un dolor de ojos, lo más interesante fue como Doohan hizo mierda el auto"
1909329466364473621,"@TinoCLeclerc Nunca más miro una carrera en la madrugada, deja nomas."
1909272873081905294,"@TinoCLeclerc Dale Alpine, todos queremos ver a Franco."
1909270231576359411,"@TinoCLeclerc Capaz deberían mejorar los micrófonos para darle más emoción, oiste como sonaba ese Alpine?"
1909267980136939956,@TinoCLeclerc Dale Franquito! Que lindo volver a verte
1909259899604787346,@TinoCLeclerc 5 segundos en Singapur
1909236891599134933,@TinoCLeclerc nunca más vuelvo a levantarme temprano a mirar una carrera
1909236533619466614,@TinoCLeclerc Fue aburrida la carrera 😤
1909055900708380991,@Fulbo___ @TinoCLeclerc Hiciste perfecto! Jajajajaja aburridisima
1909030593951645802,@fabioIaoficiaI_ @TinoCLeclerc Si en el 60% de las vueltas no pasaron nunca al primero se la dan por ganada y nos evitamos la agonía.
1909006186310942845,@TinoCLeclerc Pedazo de facto
1908975711500812399,@TinoCLeclerc Terriblemente cierto
1908974515666690298,@TinoCLeclerc APOYO
1908946348474323208,@TinoCLeclerc Eso pensaba....carreras cómo las de hoy prefiero ver a franco haciendo chistes a lo Tinelli ...y encima a un horario complicado...que vuelva colapinto a la F1 ya pq sino no hay emoción que valga
1908943836446961897,"@TinoCLeclerc Bueno, no es muy difícil estuvo bastante aburrida 🤷"
1908936048517751244,@TinoCLeclerc I'm with U👊
1908934595661230210,@TinoCLeclerc Totalmente de acuerdo !!
1908917319461462050,"@TinoCLeclerc Que carrera aburrida... No hubo adelantamientos importantes, no hubo abandonos, ni auto de seguridad, la nada misma... Con decir que hasta llegó Doohan es mucho Pero me parece q no es el momento de Colapinto xq el auto es una carreta, y le van a pedir a Franco milagros"
1908911109328757221,@TinoCLeclerc Laa viste ? Yo en el medio me quede dormido me desperté me quede dormido me desperté gano Max me volví a dormir
1908902706908950908,"@TinoCLeclerc Totalmente, lo que genera este pibe!"
1908900836488475131,@TinoCLeclerc Un bodrio Zuzuka....🥹
1908899098192642290,"@TinoCLeclerc Yo me fui de joda, hice bien?"
1908897498866778251,"@TinoCLeclerc Totalmente, fue un bodrio."
1908896616225858017,@TinoCLeclerc Migajas 🥹🥹
1908895600977772897,@TinoCLeclerc Literal
1908891591302930432,@TinoCLeclerc Pero cualquier cosa es más emocionante que lo que fue el gp de japon... dioooss jajaja me dormía...
1908889001957748861,@TinoCLeclerc Confirmo
1908887217553957219,"@TinoCLeclerc Por favor. Qué aburrida que fueeeeeee. Acá les doy la razón a los que dicen ""carreras eran lad de antes.. "" no corrieron osea. Horrible"
1908886252243374376,"@fabioIaoficiaI_ @TinoCLeclerc Va en gustos, que se yo. Igual la.f1 tiene muchas carreras así."
1908886231900975306,@TinoCLeclerc Totalmente jaja
1908885833093874116,"@fabioIaoficiaI_ @TinoCLeclerc Mas que reducción de vueltas, la solución mas rápida y sencilla es obligar a parar dos veces."
1908885167814344834,@TinoCLeclerc Neceaitamos YA a franco en la f1😂
1908884773067510143,"@chiliyskiy @TinoCLeclerc Naaa tenis, me banco todo lo que sea, es otra la dinámica y el ritmo, sin desmerecer el esfuerzo que hagan en automovilismo. Sí, es probable que mire y siga carreras por Colapinto y porque es argentino, sino no habría incursionado en el ambiente de las carreras."
1908884751953358982,"@TinoCLeclerc Japón ? Cuando jaja nooo de verdad!! Jajaja 🤣😂😆🤣😃😃 estamos en un grupo hablando y hay 25,000 post de Monza y ni uno de Japón jajajaj"
1908882880949891569,"@patagonikenk @TinoCLeclerc Ah bueno, quizás me sucede a mí que no soy mecanófila."
1908881983461093538,@fabioIaoficiaI_ @TinoCLeclerc Ponganle un video de subways surfers al lado pobre
1908881787394081043,"@TinoCLeclerc A vos te emocionó la fp2 y el video ese, lo que pasó entre medio vale pingo"
1908881323223101530,"@fabioIaoficiaI_ @TinoCLeclerc Estás loco, acá pasa eso y es una cagada, el tc debería dar 60 vueltas, menos es para topus"
1908881063675298062,"@fabioIaoficiaI_ @TinoCLeclerc Cualquiera, si ahora no hay adelantamientos con 30 vueltas que ni corran y hagan clasificación nomás"
1908880165737836760,"@fabioIaoficiaI_ @TinoCLeclerc Entonces no te gustan las carreras, eres moda  A mi me gusta el tenis y dame los partidos de 5 sets y 5 horas de juego"
1908879423589187919,@TinoCLeclerc SOY
1908879419784954321,@TinoCLeclerc igual los Alpine son una cafetera...no se si le conviene entrar ahora.
1908878706501709910,"@TinoCLeclerc Sin duda.. Elijo creer"
1908878398174244940,"@TinoCLeclerc ¿No sería momento de pedir una reducción en la cantidad de vueltas? Podría mirar hasta la vuelta 30 haciendo un esfuerzo extraordinario, pero 53 ya fue."
1908878280461001063,@Brizu_ok @TinoCLeclerc Tremendo
1908878186047320439,"@TinoCLeclerc La peor carrera desde Mónaco 2024, sin dudas. Pero los de Colapinto se hace cada vez más real !"
1908877421362770106,@tatuateel43 @TinoCLeclerc las puteadas de albon lo mas fuerte
1908877051831943236,@TinoCLeclerc Lloremos hermano
1908876808113606718,@TinoCLeclerc Hay que achicar los autos https://t.co/w3cprkOrS4
1908876774772990179,@TinoCLeclerc Coincido 100%!!! 53 vueltas de las cuales sobraron unas 50 (estoy siendo generosa)
1908876371696189930,"@TinoCLeclerc Siempre q no veo las carreras entro a twitter a ver q onda, hoy no ví nada, paso algo más a parte del cumple de Oscar???"
