ID,Tweet
1911578413581709600,@malvado_perrit @therealbuni Ajajjajajaja a llorar
1911570004312498557,@OrlandoMario35 @therealbuni A veces se me cruza ese pensamiento y me agarra escalofríos.. lo q zafamos es terrible
1911544849850912976,"@therealbuni Los kukas tienen odio selectivo.
Cuidado porque eso un trastorno mental, estan para psiquiatrico los kukas."
1911542173012574424,@malvado_perrit @therealbuni OK BOOMER
1911518562403160369,@OrlandoMario35 @therealbuni yo pienso en eso todos los dias. eve miler por siempre
1911509364591968371,"@malvado_perrit @therealbuni ""DEJEN DE PONER RECORTES DE MIS MINITROS DE ECONOMIA EN MI ALGORTIMO BLOCK BLOCK"""
1911501866380276021,"@Gogeta380643 @therealbuni Es una situación rara, porque se vende a veces desde la derecha que España está en la mierda, la realidad es que no pasa nada casi, pero poco a poco se va notando en subidas de impuestos a las clases bajas que la gente se empobrece lentamente, por eso “parece” que va todo bien"
1911501254561354026,@tomass0707 @therealbuni Me alegra no ser el único 🤣🤣🤣
1911500114663030854,@libertorium @therealbuni porque son idiotas realmente.
1911496214656524559,@malvado_perrit @therealbuni https://t.co/o2zHrpmf2a
1911492475308359735,@therealbuni Jajajajajajajajaja
1911482309490122835,"@libertorium @therealbuni esa pregunta nos hacemos todos, la verdad que es increible"
1911480678719307805,"@therealbuni ""Guzmán acaba de decir que va a sarasear?"" ❌
""Guarda que está el micrófono prendido, que les avisen"" ✅"
1911480597697921116,@libertorium @therealbuni Porque efectivamente lo son
1911478370652614839,@therealbuni Me quiero ir...!
1911476278269452388,"@libertorium @therealbuni Porque nadie es kirchnerista gratis, todos tienen algún curro del estado y se quejan de Milei porque se los corto y deben ponerse a trabajar"
1911468589619593306,@world_gl @therealbuni Eran sus jefes
1911468499433824341,"@therealbuni La impunidad de estos tipos, que mogolicos los fanáticos"
1911466088241778992,"@therealbuni ""Estiramos la cuarentena por motivos electorales"" ✌🏻
Otra de las icónicas frases del gran ministro Guzmán 🤦🏻"
1911461621265801677,"@Fearmyfidel @therealbuni El fondo ya estaba pelotudo, desde el 2018. https://t.co/Zavk2AJRok"
1911459735917801696,"@therealbuni @LuisCaputoAR le pasa el trapo como economista y como persona, fin"
1911457989409583567,@therealbuni Este video tienen que pasarlo todos los días en las pantallas alrededor del obelisco
1911457801290854716,"@malvado_perrit @therealbuni ""Maldito, me haces pensar que me cagaron"""
1911449955685777491,@Martin_Robledo @therealbuni o su grandiosa y gloriosa idea de controlar las redes sociales (cuando la jermu se puso a perseguir twitteros que mostraban los videos del tipo estando duro como pilar de stonehendge)
1911449614156210311,@malvado_perrit @therealbuni Cómo quedó ese anooooooooo
1911449093450182705,"@Martin_Robledo @therealbuni la verdad prefiero que el tipo sea mierda a que sea una mierda corrupta, narco y vendido a los chinos (o te olvidas de su GRANDIOSA idea de una moneda controlada por los chinos)"
1911448003765748093,"@DellawerXDD @therealbuni Una cosa no quita la otra, que salga duro como federal en manifestación o blando como La Pistarini, sigue siendo 💩😂"
1911444184830967930,"@therealbuni Así son. Engañando y subestimando a la gente. Merecen el castigo del pueblo, porque de ellos si sabemos que nos recontra cagaron."
1911441750968717582,@world_gl @therealbuni Ah pero si milei decía eso lo operaban toda la semana 🙄🙄🙄🙄🙄
1911440007203529074,"@therealbuni cuando pienso que milei es una cagada, recuerdo a massa y guzman y respiro profundo

de la que nos salvamos con ese agente encubierto de china"
1911439898743099601,@libertorium @therealbuni Hay muchos que quieren vivir del estado y prefieren eso antes que salir a trabajar total la vida para ellos es mas fasil al recibir guita de arriba.
1911435566626849219,@therealbuni Y “los periodistas independientes “ = avísenle que tienen el microfono abierto hahahaha
1911434008186986762,@malvado_perrit @therealbuni Llorala kuka
1911433155157934568,"@libertorium @therealbuni tienen el cerebro lavado, si vez a uno de izquierda dar su opinion no le des importancia."
1911432258088485083,@malvado_perrit @therealbuni Le entró la balubi hasta el fondo del orto
1911427779876319643,@malvado_perrit @therealbuni Jaja k qlo roto
1911424956195369223,@malvado_perrit @therealbuni Entro la bala. Y te entro la pija en el culo KUKA
1911423225671598082,@libertorium @therealbuni Igual que en España quienes defienden a Pedro Sánchez 😂
1911422356477599905,@therealbuni Y estos otros… https://t.co/WAJnJDhNld
1911421790124978395,@therealbuni La reacción de Massa es genial
1911421658230911345,"@therealbuni Y éste cara dura sale a dar clases por redes y en los programas de TV, preso debería estar. Que pais generoso es éste por favor."
1911420113330360600,@malvado_perrit @therealbuni entró la bala
1911419418875171207,@malvado_perrit @therealbuni Te duele la laco
1911418802597683477,"@Gogeta380643 @libertorium @therealbuni Pues jodidos, endeudandonos  cada vez más. Saliendo corrupción por todos lados en el gobierno, pero como están creando una generación de dependientes de paguitas, gilipolleces climáticas y demás, pues aseguran el voto, y comprando jubilados por una miseria más al mes..."
1911417874993852475,"@therealbuni Además se cagaban de risa ..
kirchnerismo
Kicillof es lo mismo https://t.co/sLOiDlot3i"
1911417575864426867,@therealbuni @Martin_M_Guzman forro mogólico
1911416233917927447,"@libertorium @therealbuni Vendieron su dignidad por un poco de comida, así ganan votos, creando pobres. No solo pobres de dinero sino pobres de pensamiento"
1911415385074835921,"@dorta_gonzalo @therealbuni Guzmán dijo ""zarasear"" en el Congreso en 2020, durante una presentación del presupuesto 2021. Fue un comentario informal, captado por un micrófono abierto, mientras esperaba resolver un problema técnico con una presentación de PowerPoint. En este contexto, ""zarasear"" significa"
1911414486738596265,@therealbuni @grok a que se refiere guzman
1911414476420587649,"@libertorium @therealbuni A ellos les gusta que los insutlen y les mientan en la cara, son así"
1911411136710205881,"@therealbuni y el otro mogolico se rie jaja, pelotudooooooss @SergioMassa"
1911410459246239906,@therealbuni Imagínate si estos tipos hubieran ganado dios mío que horror
1911410117146300578,"@libertorium @therealbuni Son por 2 cosas que es por puro odio al gobierno actual o porque los que los defienden les pagan, por curiosidad pregunto ¿Como estan alla ustedes con el gobierno actual?"
1911404929769525628,@OrlandoMario35 @therealbuni No podes pretender algo bueno de una persona adicta a las drogas y que por lo que se ve todavía no está recuperado del todo.
1911404268768141646,@malvado_perrit @therealbuni https://t.co/CE69BBK0Y5
1911400601105138056,@therealbuni Que les avisen? Jajaja que se caguen
1911394458274320408,@therealbuni En la cara se te ríen
1911375104497364998,"@therealbuni Economistas kirchneristas todos unos impresentables....los fánaticos ka recontentos con ellos ...hoy lloran y se enojan , odian a todos porque no quieren escuchar ni ver...no reconocer para no sentirse unos estúpidos por reproducir las mentiras de la condenada.Fin."
1911349210210873372,@therealbuni Sin palabras...
1911348444288926064,"@therealbuni Pregunta de alguien que es de España, ¿cómo pueden los kirchneristas seguir defendiendo a esta gente que abiertamente les insulta y les trata de idiotas?"
1911310675940417953,@therealbuni Como se complica ser operador libertario jajajaja. https://t.co/K7N9LtI0sO
1911310404610928781,@therealbuni Te imaginas ser libertario y que te boludeen así jajajaja. https://t.co/hjJcCfDcgw
1911309914787430561,"@therealbuni Gordo, queda algún libertario en LLA ? JAJAJAJAJA https://t.co/HiYf0QfK1B"
1911303597582676430,@therealbuni LA FARSA DE LOS KUKAS https://t.co/MBIxUfvIQ9
1911299342914273528,@therealbuni Qué hijo de put”””
1911283217946071092,@therealbuni Por qué me apareces?? Block por pesado y paga por aparecer
1911280321477091564,@therealbuni @Martin_M_Guzman SORETE HIJO DE MIL PUTA
1911277710044692595,@therealbuni Jajaj
1911260113941192886,@therealbuni Si saraseo toda la campaña y lo voto el 44% de la gente
1911259096700899437,@therealbuni Follow me xxx
1911256915163635719,@therealbuni 🤣🤣🤣🤣🤣🤣🤣🤣
1911255093413806304,@OrlandoMario35 @therealbuni por eso no ganaron. lo triste es que estuvieron a punto.
1911252205094514759,@therealbuni Y pensar que todavía hay gente que defiende a estos tarados. Si Massa ganaba en el 2023 éramos Afghanistan. Dios se apiadó de la Argentina.
1911251721881272404,@therealbuni jajajaja
1911250646633787783,@therealbuni Gracias Dios porque estos ya no gobiernan mas
1911249721101873649,@therealbuni El nivel de desesperación que manejan los kukis en las últimas horas es impresionante 🤣
1911247643470147594,@therealbuni Hasta al ladri de al lado le da vergüenza
1911246871491657935,@therealbuni https://t.co/6C0S8628Eq
1911242675153420371,@therealbuni HDMLP Kukas degenerados peronchistakicchneristas Ladronesss y Violadores ✌🏽💩✌🏽✌🏽💰✌🏽🐀🐀👈🏽 https://t.co/LKriSGk1vN
1911242099132948548,@therealbuni Pero a muchos les encanta q les mientan en la cara y más si son kukas.
1911242052018323730,@therealbuni Lo que más indigna es que los periodistas en vez de enojarse se preocupan para que no se expongan
1911240388980908092,@therealbuni Qhdrp
1911237235677987290,@therealbuni Se nos cagaban de risa en la cara lit
1911234064771698758,"@therealbuni la periodista mas pelotuda , se nota cuando es ""hija de"" para entrar a laburar ahi..."
