ID,Tweet
1907516219441516758,@CarlosdeArce1 Completamente de acuerdo
1907515208060514531,"@CarlosdeArce1 @Brucebatman007 Sabe usted que era una película, no? Y que Iceman era su papel no? Pues eso!"
1907513048081781037,@Brucebatman007 D.E.P Iceman
1907500414485909822,@Brucebatman007 Joder
1907488910470488368,@Brucebatman007 https://t.co/HTp8CcKkwY
1907488872105214041,@Brucebatman007 https://t.co/Mn13Y7WHPC
1907486100773376279,@Brucebatman007 🙏
1907481258981990506,@Brucebatman007 Totalmente
1907479102379999629,"@Brucebatman007 El todo poderoso y angel de la guarda de Maverick, el almirante IceMan"
1907477708642156871,@Brucebatman007 Brutal
1907470866302251409,@Brucebatman007 Que en Paz Descanse 🙏🏼 🕊️
1907466755079094373,@Brucebatman007 En honor a Val Kilmer.
1907465340994441582,@Brucebatman007 Genial
1907459746413613435,@Brucebatman007 🥲
1907455572623925522,@Brucebatman007 Todos los aviones del mundo deberían estar volando hoy en su honor 🧐
1907450570337644860,@satoshioshii @Brucebatman007 Gran película eh
1907434618569081212,"@EdwinPa87510782 Si, en la escena se le nota muy triste a Cruise 🥹"
1907432186304667724,@Brucebatman007 Creo que tom Cruise ya sabía que lo de el era terminal por eso hizo la película me imagino gran homenaje
1907425665550307661,@Annabella5264 Mucho 🥹
1907420885784379741,"@Brucebatman007 Val ""Corazón Trueno"" Kilmer https://t.co/277U7srXNL"
1907408547375181936,@Brucebatman007 💔💔💔 Día muy triste
1907401522771534137,@norma_ovelar Absolutamente 🥲
1907400874688671752,@Brucebatman007 https://t.co/EtoNE2ThHz
1907399943557362146,@Brucebatman007 Un homenaje al gran VAL KILMER😭QEPD
1907399648693641648,@Brucebatman007 QEPD
1907394702116110666,@Brucebatman007 💔🥺
1907393054316638238,@Brucebatman007 https://t.co/PKR3SIWa1M
1907392499846398422,"@Brucebatman007 Tal cual, vuela alto Iceman 🧊🌿🌿🧊🧊🧊🧊"
1907391762605195491,@Brucebatman007 De mis ídolos y más después de interpretar su propio funeral... GENIO!!
1907389449643733241,@Brucebatman007 😪😪😪
1907365578135724514,@Brucebatman007 DESCANSA EN PAZ
1907363018372989267,@Brucebatman007 Buenísimo ❤️🫶
1907360904162755026,"@Brucebatman007 Madre mía, qué mal...😥"
1907356374759084367,"@Brucebatman007 Qué bajón!
Se nos va un mito.
😞😞😞 https://t.co/lK21JMq5z1"
