ID,Tweet
1909343705347015091,"@TinoCLeclerc este circuito y el de monaco son horribles, no hay ningun adelantamiento."
1909342527041253488,"@TinoCLeclerc Suzuka y Mónaco son carreras aburridas, no pasa mucho, en Mónaco casi que la Posta es el Sábado la clasificación en realidad. Aunque de las 2, Mónaco es histórica, Suzuka fue un dolor de ojos, lo más interesante fue como Doohan hizo mierda el auto"
1909329466364473621,"@TinoCLeclerc Nunca más miro una carrera en la madrugada, deja nomas."
1909272873081905294,"@TinoCLeclerc Dale Alpine, todos queremos ver a Franco."
1908876774772990179,@TinoCLeclerc Coincido 100%!!! 53 vueltas de las cuales sobraron unas 50 (estoy siendo generosa)
1909270231576359411,"@TinoCLeclerc Capaz deberían mejorar los micrófonos para darle más emoción, oiste como sonaba ese Alpine?"
1909267980136939956,@TinoCLeclerc Dale Franquito! Que lindo volver a verte
1909236891599134933,@TinoCLeclerc nunca más vuelvo a levantarme temprano a mirar una carrera
1909236533619466614,@TinoCLeclerc Fue aburrida la carrera 😤
1909006186310942845,@TinoCLeclerc Pedazo de facto
1908946348474323208,@TinoCLeclerc Eso pensaba....carreras cómo las de hoy prefiero ver a franco haciendo chistes a lo Tinelli ...y encima a un horario complicado...que vuelva colapinto a la F1 ya pq sino no hay emoción que valga
1908943836446961897,"@TinoCLeclerc Bueno, no es muy difícil estuvo bastante aburrida 🤷"
1908900836488475131,@TinoCLeclerc Un bodrio Zuzuka....🥹
1908891591302930432,@TinoCLeclerc Pero cualquier cosa es más emocionante que lo que fue el gp de japon... dioooss jajaja me dormía...
1908887217553957219,"@TinoCLeclerc Por favor. Qué aburrida que fueeeeeee. Acá les doy la razón a los que dicen ""carreras eran lad de antes.. "" no corrieron osea. Horrible"
1908885833093874116,"@fabioIaoficiaI_ @TinoCLeclerc Mas que reducción de vueltas, la solución mas rápida y sencilla es obligar a parar dos veces."
1908881323223101530,"@fabioIaoficiaI_ @TinoCLeclerc Estás loco, acá pasa eso y es una cagada, el tc debería dar 60 vueltas, menos es para topus"
1908881063675298062,"@fabioIaoficiaI_ @TinoCLeclerc Cualquiera, si ahora no hay adelantamientos con 30 vueltas que ni corran y hagan clasificación nomás"
1908879419784954321,@TinoCLeclerc igual los Alpine son una cafetera...no se si le conviene entrar ahora.
1908878706501709910,"@TinoCLeclerc Sin duda.. Elijo creer"
1908878398174244940,"@TinoCLeclerc ¿No sería momento de pedir una reducción en la cantidad de vueltas? Podría mirar hasta la vuelta 30 haciendo un esfuerzo extraordinario, pero 53 ya fue."
1908878186047320439,"@TinoCLeclerc La peor carrera desde Mónaco 2024, sin dudas. Pero los de Colapinto se hace cada vez más real !"
1908877051831943236,@TinoCLeclerc Lloremos hermano
1908876808113606718,@TinoCLeclerc Hay que achicar los autos https://t.co/w3cprkOrS4
1908876774772990179,@TinoCLeclerc Coincido 100%!!! 53 vueltas de las cuales sobraron unas 50 (estoy siendo generosa)
